PUMA2010,PUMA2010_name,CZ20,CZ20_name,pop_overlap,share_of_PUMA2010,afactor,PUMA2010_total_pop,cells,grid_res_m,crs_epsg,method,PUMA2010_state_fips,PUMA2010_state
G28000400,"Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties PUMA",12,NA,0.6809443831443787,4.768816586066796e-6,4.768816586066796e-6,142791.06165121042,1,100,5070,building_footprint_area,28,MS
G13002300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,6,NA,118820.91799021466,0.9999946669643691,0.9999946669643691,118821.55166978342,26071,100,5070,building_footprint_area,13,GA
G01001305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",5,NA,117752.85509737139,1,1,117752.85509737139,17678,100,5070,building_footprint_area,01,AL
G01001302,Birmingham City (East) PUMA,5,NA,99189.42979294737,1,1,99189.42979294737,7023,100,5070,building_footprint_area,01,AL
G01001303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",5,NA,183926.55532271555,1,1,183926.55532271555,15936,100,5070,building_footprint_area,01,AL
G28000600,"Golden Triangle Region--Starkville, Columbus & West Point Cities PUMA",302,NA,174156.19503968768,0.999883370417109,0.999883370417109,174176.50917330198,48594,100,5070,building_footprint_area,28,MS
G01001200,Shelby County PUMA,5,NA,222179.16928225756,1,1,222179.16928225756,31807,100,5070,building_footprint_area,01,AL
G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,4,NA,124232.60905308183,0.9998564509687864,0.9998564509687864,124250.44508410152,30774,100,5070,building_footprint_area,01,AL
G01001301,Birmingham City (West) PUMA,5,NA,87095.44608990126,1,1,87095.44608990126,6805,100,5070,building_footprint_area,01,AL
G13002200,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",6,NA,11398.861674623564,0.11281400507111002,0.11281400507111002,101041.1931341195,5243,100,5070,building_footprint_area,13,GA
G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,5,NA,12.539083361625671,1.0091781444435333e-4,1.0091781444435333e-4,124250.44508410152,2,100,5070,building_footprint_area,01,AL
G01001600,Tuscaloosa & Northport (Southeast) Cities PUMA,4,NA,120117.05704474635,1,1,120117.05704474635,8923,100,5070,building_footprint_area,01,AL
G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",7,NA,34350.032215366606,0.2633432094025325,0.2633432094025325,130438.26834684378,9159,100,5070,building_footprint_area,01,AL
G01001700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA",4,NA,122292.42718989833,0.9999887523698623,0.9999887523698623,122293.8027053593,38525,100,5070,building_footprint_area,01,AL
G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",6,NA,51282.36828024965,0.3931543168289119,0.3931543168289119,130438.26834684378,17781,100,5070,building_footprint_area,01,AL
G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",5,NA,44805.86785122752,0.34350247376855564,0.34350247376855564,130438.26834684378,15800,100,5070,building_footprint_area,01,AL
G13002200,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",7,NA,89642.33145949594,0.8871859949288899,0.8871859949288899,101041.1931341195,22025,100,5070,building_footprint_area,13,GA
G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,302,NA,5.296947658061981,4.263121676929713e-5,4.263121676929713e-5,124250.44508410152,2,100,5070,building_footprint_area,01,AL
G01001900,Lee County--Auburn City PUMA,7,NA,172649.22144216485,1,1,172649.22144216485,24747,100,5070,building_footprint_area,01,AL
G01002100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA",1,NA,187128.07438444882,0.9999908970337769,0.9999908970337769,187129.77782049566,48705,100,5070,building_footprint_area,01,AL
G28001400,"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties PUMA",4,NA,0.4444666802883148,3.7894827109494965e-6,3.7894827109494965e-6,117289.53901915252,1,100,5070,building_footprint_area,28,MS
G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",7,NA,77742.9822615874,0.5326930721356443,0.5326930721356443,145943.29516977654,16546,100,5070,building_footprint_area,01,AL
G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",6,NA,28.87206667661667,1.9783071666998922e-4,1.9783071666998922e-4,145943.29516977654,5,100,5070,building_footprint_area,01,AL
G01002000,Montgomery City & Pike Road Town (North) PUMA,1,NA,196223.49763448536,1,1,196223.49763448536,15389,100,5070,building_footprint_area,01,AL
G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",1,NA,43122.05201326171,0.29547127850647487,0.29547127850647487,145943.29516977654,13416,100,5070,building_footprint_area,01,AL
G01002100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA",4,NA,1.7034360468387604,9.102966223113792e-6,9.102966223113792e-6,187129.77782049566,2,100,5070,building_footprint_area,01,AL
G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",3,NA,25049.388828250812,0.17163781864121086,0.17163781864121086,145943.29516977654,8232,100,5070,building_footprint_area,01,AL
G01002200,Southwest Alabama PUMA,9,NA,12549.830641649198,0.09735725231910435,0.09735725231910435,128904.93869439815,6732,100,5070,building_footprint_area,01,AL
G01002200,Southwest Alabama PUMA,2,NA,48650.814268070506,0.37741621663860064,0.37741621663860064,128904.93869439815,21864,100,5070,building_footprint_area,01,AL
G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",1,NA,31966.961825476028,0.2612244529734226,0.2612244529734226,122373.54298806167,14713,100,5070,building_footprint_area,01,AL
G01002500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",3,NA,199209.09736006765,0.9999749947054479,0.9999749947054479,199214.07876678614,51361,100,5070,building_footprint_area,01,AL
G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",2,NA,3.5807528495788574,2.926084153605149e-5,2.926084153605149e-5,122373.54298806167,1,100,5070,building_footprint_area,01,AL
G01001700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA",2,NA,1.3755154609680176,1.1247630137743179e-5,1.1247630137743179e-5,122293.8027053593,1,100,5070,building_footprint_area,01,AL
G01002200,Southwest Alabama PUMA,11,NA,67639.52519698488,0.5247240787053281,0.5247240787053281,128904.93869439815,25742,100,5070,building_footprint_area,01,AL
G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",3,NA,52968.831708091544,0.43284545347566666,0.43284545347566666,122373.54298806167,13984,100,5070,building_footprint_area,01,AL
G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",11,NA,37430.96098237811,0.30587462018673217,0.30587462018673217,122373.54298806167,15359,100,5070,building_footprint_area,01,AL
G28001700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties PUMA",304,NA,115948.17747715698,0.8964888144311726,0.8964888144311726,129335.88864767575,44915,100,5070,building_footprint_area,28,MS
G13001100,Southwest Georgia Regional Commission (West & Central) PUMA,3,NA,16256.601497589145,0.1354252292701467,0.1354252292701467,120041.15913409623,6213,100,5070,building_footprint_area,13,GA
G01002600,Baldwin County PUMA,2,NA,225331.6568577492,0.9992856018948125,0.9992856018948125,225492.7484499754,42286,100,5070,building_footprint_area,01,AL
G01002200,Southwest Alabama PUMA,305,NA,7.874020099639893,6.108392881910641e-5,6.108392881910641e-5,128904.93869439815,2,100,5070,building_footprint_area,01,AL
G28001700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties PUMA",305,NA,13387.71117051877,0.10351118556882748,0.10351118556882748,129335.88864767575,5855,100,5070,building_footprint_area,28,MS
G01002500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",94,NA,4.981406718492508,2.5005294552118924e-5,2.5005294552118924e-5,199214.07876678614,4,100,5070,building_footprint_area,01,AL
G12000500,"Walton, Washington, Holmes & Bay Counties PUMA",94,NA,217100.89489638084,0.7530100299202541,0.7530100299202541,288310.76117189624,40254,100,5070,building_footprint_area,12,FL
G01002703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA",2,NA,204078.81372121582,0.9997152176507308,0.9997152176507308,204136.9483209313,39671,100,5070,building_footprint_area,01,AL
G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",100,NA,3.2077192664146423,2.6212522642476537e-5,2.6212522642476537e-5,122373.54298806167,3,100,5070,building_footprint_area,01,AL
G12000500,"Walton, Washington, Holmes & Bay Counties PUMA",100,NA,71205.84933305904,0.24697603739669222,0.24697603739669222,288310.76117189624,17579,100,5070,building_footprint_area,12,FL
G12009100,Okaloosa County PUMA,100,NA,207090.619568537,0.9999647137785854,0.9999647137785854,207097.9272718532,22854,100,5070,building_footprint_area,12,FL
G01002200,Southwest Alabama PUMA,100,NA,56.89456759393215,4.413684081477681e-4,4.413684081477681e-4,128904.93869439815,24,100,5070,building_footprint_area,01,AL
G12011300,Santa Rosa County PUMA,100,NA,184037.97385767475,1,1,184037.97385767475,26954,100,5070,building_footprint_area,12,FL
G12003301,Escambia County (North) PUMA,100,NA,124556.73608699907,1,1,124556.73608699907,19685,100,5070,building_footprint_area,12,FL
G01002703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA",305,NA,3.585607349872589,1.7564715155021923e-5,1.7564715155021923e-5,204136.9483209313,3,100,5070,building_footprint_area,01,AL
G01002701,Mobile City (East) PUMA,2,NA,98842.84922453319,0.999752816991222,0.999752816991222,98867.28753813659,8534,100,5070,building_footprint_area,01,AL
G28001900,"South Region--Pearl River, Hancock, George & Stone Counties PUMA",305,NA,88374.19193900097,0.6126824784117954,0.6126824784117954,144241.42203003075,26742,100,5070,building_footprint_area,28,MS
G01002702,Mobile City (West) PUMA,2,NA,110406.02555319201,1,1,110406.02555319201,8712,100,5070,building_footprint_area,01,AL
G28002100,South Region--Jackson County PUMA,2,NA,24.58215242624283,1.7226571241908415e-4,1.7226571241908415e-4,142699.04371010244,13,100,5070,building_footprint_area,28,MS
G28002100,South Region--Jackson County PUMA,305,NA,142569.31495631556,0.9990908926197821,0.9990908926197821,142699.04371010244,24209,100,5070,building_footprint_area,28,MS
G29002300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",56,NA,43541.379971880466,0.4322041889755461,0.4322041889755461,100742.61444593268,9218,100,5070,building_footprint_area,29,MO
G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",46,NA,195441.2166364867,0.9999815299649135,0.9999815299649135,195444.8265092898,43974,100,5070,building_footprint_area,05,AR
G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",313,NA,1.2992967814207077,6.647895493713414e-6,6.647895493713414e-6,195444.8265092898,2,100,5070,building_footprint_area,05,AR
G29002400,"Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties PUMA",313,NA,68610.10439733602,0.710632909056868,0.710632909056868,96547.88502321602,28511,100,5070,building_footprint_area,29,MO
G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",319,NA,0.4413319528102875,2.258089716124107e-6,2.258089716124107e-6,195444.8265092898,1,100,5070,building_footprint_area,05,AR
G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",52,NA,92508.64258938818,0.6973094697757504,0.6973094697757504,132665.11728162575,40621,100,5070,building_footprint_area,05,AR
G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",319,NA,1.4690593779087067,1.1073441218087047e-5,1.1073441218087047e-5,132665.11728162575,3,100,5070,building_footprint_area,05,AR
G29002500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",319,NA,108763.29326267331,0.928438821527701,0.928438821527701,117146.42983552604,51611,100,5070,building_footprint_area,29,MO
G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",41,NA,58027.822345920606,0.3750927693403806,0.3750927693403806,154702.58850354655,21822,100,5070,building_footprint_area,05,AR
G29002500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",41,NA,8380.585095170885,0.07153939822952568,0.07153939822952568,117146.42983552604,5822,100,5070,building_footprint_area,29,MO
G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",43,NA,72469.30417373008,0.4684427382549499,0.4684427382549499,154702.58850354655,29891,100,5070,building_footprint_area,05,AR
G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",310,NA,32.94014784693718,2.129256411645758e-4,2.129256411645758e-4,154702.58850354655,15,100,5070,building_footprint_area,05,AR
G29002700,"Taney, Barry, Stone & McDonald Counties PUMA",310,NA,120922.1476721405,0.8396421838460348,0.8396421838460348,144016.28455379512,38931,100,5070,building_footprint_area,29,MO
G05000100,Benton County PUMA,42,NA,283868.3188293027,0.999982847729119,0.999982847729119,283873.18789911736,44493,100,5070,building_footprint_area,05,AR
G29002700,"Taney, Barry, Stone & McDonald Counties PUMA",42,NA,23088.735061613377,0.1603203077565088,0.1603203077565088,144016.28455379512,9335,100,5070,building_footprint_area,29,MO
G40000100,Northeast Oklahoma PUMA,439,NA,122828.02282904228,0.7699889030943889,0.7699889030943889,159519.21168659418,43089,100,5070,building_footprint_area,40,OK
G05000100,Benton County PUMA,439,NA,2.843338370323181,1.0016227285733108e-5,1.0016227285733108e-5,283873.18789911736,3,100,5070,building_footprint_area,05,AR
G05000100,Benton County PUMA,43,NA,2.0257314443588257,7.1360435952081836e-6,7.1360435952081836e-6,283873.18789911736,3,100,5070,building_footprint_area,05,AR
G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",42,NA,16470.67716522701,0.10646671994663762,0.10646671994663762,154702.58850354655,9855,100,5070,building_footprint_area,05,AR
G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",52,NA,1.8692440688610077,9.56404987661395e-6,9.56404987661395e-6,195444.8265092898,3,100,5070,building_footprint_area,05,AR
G05000200,Washington County PUMA,42,NA,245455.21903429646,0.9999711296842957,0.9999711296842957,245462.30560855288,36812,100,5070,building_footprint_area,05,AR
G40000100,Northeast Oklahoma PUMA,42,NA,12.909104406833649,8.0925076486687e-5,8.0925076486687e-5,159519.21168659418,3,100,5070,building_footprint_area,40,OK
G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",52,NA,0.5294948369264603,3.422663072727588e-6,3.422663072727588e-6,154702.58850354655,2,100,5070,building_footprint_area,05,AR
G05000600,"Crittenden, Mississippi & Craighead (East) Counties PUMA",56,NA,40141.456627597334,0.41156791176113966,0.41156791176113966,97533.00847927644,6454,100,5070,building_footprint_area,05,AR
G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",47,NA,7696.876672242768,0.049752733594799016,0.049752733594799016,154702.58850354655,4875,100,5070,building_footprint_area,05,AR
G05000600,"Crittenden, Mississippi & Craighead (East) Counties PUMA",46,NA,9602.3189440649,0.09845199172857645,0.09845199172857645,97533.00847927644,1970,100,5070,building_footprint_area,05,AR
G05000200,Washington County PUMA,433,NA,4.616045951843262,1.880551859235213e-5,1.880551859235213e-5,245462.30560855288,8,100,5070,building_footprint_area,05,AR
G40000200,"Cherokee, Sequoyah & Adair Counties PUMA",433,NA,66027.24644404929,0.6280698687557698,0.6280698687557698,105127.23142546508,23490,100,5070,building_footprint_area,40,OK
G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",53,NA,99476.86118141189,0.9233734214960571,0.9233734214960571,107731.9953830149,27751,100,5070,building_footprint_area,05,AR
G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",47,NA,40154.878935244866,0.3026785017647315,0.3026785017647315,132665.11728162575,19775,100,5070,building_footprint_area,05,AR
G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",46,NA,22735.15894921124,0.24185495706958485,0.24185495706958485,94003.27876128681,4818,100,5070,building_footprint_area,05,AR
G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",54,NA,4.438503742218018,2.8690558995502943e-5,2.8690558995502943e-5,154702.58850354655,2,100,5070,building_footprint_area,05,AR
G05001500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA",50,NA,47717.554413041566,0.5008926305805863,0.5008926305805863,95265.03585754894,22829,100,5070,building_footprint_area,05,AR
G05001300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA",54,NA,108536.48430764885,0.7803603703273584,0.7803603703273584,139085.07970762043,32749,100,5070,building_footprint_area,05,AR
G05000200,Washington County PUMA,50,NA,2.470528304576874,1.0064797111930944e-5,1.0064797111930944e-5,245462.30560855288,2,100,5070,building_footprint_area,05,AR
G05001400,Sebastian & Crawford Counties PUMA,50,NA,187346.0259194398,0.999787495790978,0.999787495790978,187385.84620046854,34088,100,5070,building_footprint_area,05,AR
G05001300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA",43,NA,0.5243291854858398,3.769844950932663e-6,3.769844950932663e-6,139085.07970762043,1,100,5070,building_footprint_area,05,AR
G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",53,NA,1.5542428493499756,1.6533921686889675e-5,1.6533921686889675e-5,94003.27876128681,1,100,5070,building_footprint_area,05,AR
G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",46,NA,0.22146569192409515,2.0557095516213894e-6,2.0557095516213894e-6,107731.9953830149,1,100,5070,building_footprint_area,05,AR
G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",52,NA,1.8915452361106873,1.7557878041576768e-5,1.7557878041576768e-5,107731.9953830149,2,100,5070,building_footprint_area,05,AR
G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",56,NA,1.1717371940612793,1.2464854518923797e-5,1.2464854518923797e-5,94003.27876128681,1,100,5070,building_footprint_area,05,AR
G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",39,NA,71263.8180418653,0.7580992810137357,0.7580992810137357,94003.27876128681,18772,100,5070,building_footprint_area,05,AR
G05000600,"Crittenden, Mississippi & Craighead (East) Counties PUMA",51,NA,47789.232907614205,0.48998009651028385,0.48998009651028385,97533.00847927644,5572,100,5070,building_footprint_area,05,AR
G05001300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA",49,NA,30548.0710707861,0.21963585982769063,0.21963585982769063,139085.07970762043,13373,100,5070,building_footprint_area,05,AR
G05001100,Faulkner & Lonoke Counties PUMA,49,NA,196046.63467928302,0.9999883990325066,0.9999883990325066,196048.90903630387,39597,100,5070,building_footprint_area,05,AR
G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",49,NA,0.1266976147890091,9.550183001010835e-7,9.550183001010835e-7,132665.11728162575,1,100,5070,building_footprint_area,05,AR
G05001400,Sebastian & Crawford Counties PUMA,443,NA,39.82028102874756,2.1250420902199386e-4,2.1250420902199386e-4,187385.84620046854,10,100,5070,building_footprint_area,05,AR
G40000300,Southeast Oklahoma PUMA,443,NA,112024.129448483,0.6702622912939834,0.6702622912939834,167134.76336586592,44067,100,5070,building_footprint_area,40,OK
G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",51,NA,1.5757901668548584,1.6763140473604556e-5,1.6763140473604556e-5,94003.27876128681,1,100,5070,building_footprint_area,05,AR
G05001500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA",54,NA,0.4464532434940338,4.6864333747968275e-6,4.6864333747968275e-6,95265.03585754894,1,100,5070,building_footprint_area,05,AR
G40000300,Southeast Oklahoma PUMA,50,NA,0.6911574006080627,4.135329997716193e-6,4.135329997716193e-6,167134.76336586592,1,100,5070,building_footprint_area,40,OK
G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",39,NA,8253.021190674976,0.07660696491634975,0.07660696491634975,107731.9953830149,3408,100,5070,building_footprint_area,05,AR
G05000900,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA",49,NA,209550.84304556926,1,1,209550.84304556926,28147,100,5070,building_footprint_area,05,AR
G05001100,Faulkner & Lonoke Counties PUMA,39,NA,2.27435702085495,1.1600967493442107e-5,1.1600967493442107e-5,196048.90903630387,2,100,5070,building_footprint_area,05,AR
G05001000,Pulaski County (Central)--Little Rock City PUMA,49,NA,188209.7704218449,1,1,188209.7704218449,13646,100,5070,building_footprint_area,05,AR
G05001200,Saline County PUMA,49,NA,122294.16787610482,0.9999909637883607,0.9999909637883607,122295.2729620738,23844,100,5070,building_footprint_area,05,AR
G05001600,"Garland, Hot Spring, Clark & Montgomery Counties PUMA",45,NA,161984.7729009681,0.9998053502071119,0.9998053502071119,162016.309342026,42153,100,5070,building_footprint_area,05,AR
G05001600,"Garland, Hot Spring, Clark & Montgomery Counties PUMA",49,NA,31.536441057920456,1.9464979288810465e-4,1.9464979288810465e-4,162016.309342026,11,100,5070,building_footprint_area,05,AR
G40000300,Southeast Oklahoma PUMA,57,NA,55109.05187933799,0.3297282430627652,0.3297282430627652,167134.76336586592,25052,100,5070,building_footprint_area,40,OK
