state,CZ20,CZ90,CZ90_name,pop_overlap,share_of_CZ20,CZ20_total_pop,cells,grid_res_m,crs_epsg,method
AL,118,6401,"Chattanooga city, TN",10.075603261590004,1.2594777484092062e-5,799982.6336206477,6,100,5070,building_footprint_area
AL,8,6100,"Gadsden city, AL",323766.8792775116,0.928678329397951,348631.8879513481,99461,100,5070,building_footprint_area
AL,8,6401,"Chattanooga city, TN",2.0121169686317444,5.771465658105656e-6,348631.8879513481,2,100,5070,building_footprint_area
AL,10,6000,"Huntsville city, AL",643453.0221573459,0.7473597771756285,860968.2268278338,106444,100,5070,building_footprint_area
AL,118,6100,"Gadsden city, AL",9.261491179466248,1.1577115290052725e-5,799982.6336206477,4,100,5070,building_footprint_area
AL,496,5500,"Columbia city, TN",23.37684965133667,1.1043822650272821e-4,211673.53362704697,9,100,5070,building_footprint_area
AL,496,6000,"Huntsville city, AL",0.4942258298397064,2.3348494323834343e-6,211673.53362704697,1,100,5070,building_footprint_area
AL,10,5500,"Columbia city, TN",1.3202612400054932,1.5334610486961715e-6,860968.2268278338,1,100,5070,building_footprint_area
AL,10,6200,"Florence city, AL",182127.56942954566,0.2115380843966561,860968.2268278338,48769,100,5070,building_footprint_area
AL,496,6200,"Florence city, AL",4.7186819314956665,2.229226229014362e-5,211673.53362704697,3,100,5070,building_footprint_area
AL,10,6100,"Gadsden city, AL",3.025766372680664,3.514376347927321e-6,860968.2268278338,2,100,5070,building_footprint_area
AL,8,6600,"Rome city, GA",24834.397640039213,0.07123386729186654,348631.8879513481,11732,100,5070,building_footprint_area
AL,110,6600,"Rome city, GA",11.25989705324173,2.3804596118754227e-5,473013.572549997,7,100,5070,building_footprint_area
AL,297,5100,"Corinth city, MS",0.2905442416667938,8.834086563469329e-7,328889.9645473828,1,100,5070,building_footprint_area
AL,8,6000,"Huntsville city, AL",10.634483575820923,3.0503473558634932e-5,348631.8879513481,3,100,5070,building_footprint_area
AL,5,6100,"Gadsden city, AL",32.552068412303925,2.5782686719468493e-5,1262555.3250710631,13,100,5070,building_footprint_area
AL,5,10700,"Birmingham city, AL",1174130.316442481,0.929963458335099,1262555.3250710631,196007,100,5070,building_footprint_area
AL,8,10700,"Birmingham city, AL",4.577036917209625,1.3128566477683633e-5,348631.8879513481,4,100,5070,building_footprint_area
AL,5,6000,"Huntsville city, AL",3.6888034343719482,2.9216964683621475e-6,1262555.3250710631,2,100,5070,building_footprint_area
AL,10,10700,"Birmingham city, AL",94.68348591774702,1.0997326378303238e-4,860968.2268278338,37,100,5070,building_footprint_area
AL,5,10600,"Birmingham city, AL",88364.74108320987,0.06998880708711616,1262555.3250710631,33208,100,5070,building_footprint_area
AL,12,6200,"Florence city, AL",20.504245951771736,3.4745774853680585e-4,59012.199434659444,16,100,5070,building_footprint_area
AL,12,10600,"Birmingham city, AL",58975.749055213295,0.9993823246753155,59012.199434659444,25286,100,5070,building_footprint_area
AL,10,10600,"Birmingham city, AL",1.044777274131775,1.2134910924427145e-6,860968.2268278338,1,100,5070,building_footprint_area
AL,297,5000,"Tupelo city, MS",2.244203209877014,6.823568523793296e-6,328889.9645473828,2,100,5070,building_footprint_area
AL,6,9600,"Anniston city, AL",152573.41857028147,0.3321868628117525,459299.9773646784,43151,100,5070,building_footprint_area
AL,6,6100,"Gadsden city, AL",5.090709924697876,1.1083627641148165e-5,459299.9773646784,2,100,5070,building_footprint_area
AL,6,9500,"Talladega city, AL",146662.30866304738,0.3193170387347948,459299.9773646784,44473,100,5070,building_footprint_area
AL,302,10600,"Birmingham city, AL",3.870797634124756,2.2225335749914228e-5,174161.49198734574,2,100,5070,building_footprint_area
AL,12,10801,"Tuscaloosa city, AL",0.37924924492836,6.426624470221267e-6,59012.199434659444,1,100,5070,building_footprint_area
AL,4,10801,"Tuscaloosa city, AL",308430.3450860457,0.8412228805312714,366645.216415485,55397,100,5070,building_footprint_area
AL,4,10600,"Birmingham city, AL",4.739562749862671,1.2926836455686263e-5,366645.216415485,3,100,5070,building_footprint_area
AL,4,10501,"Columbus city, MS",19033.21662084479,0.051911809478720185,366645.216415485,8276,100,5070,building_footprint_area
AL,302,10501,"Columbus city, MS",5.336264073848724,3.063974712754785e-5,174161.49198734574,6,100,5070,building_footprint_area
AL,5,9500,"Talladega city, AL",3.52839732170105,2.7946476892032066e-6,1262555.3250710631,1,100,5070,building_footprint_area
AL,4,10700,"Birmingham city, AL",37.453021466732025,1.021505798790785e-4,366645.216415485,4,100,5070,building_footprint_area
AL,7,9600,"Anniston city, AL",34562.02465415979,0.043740569065945395,790159.4650506813,9157,100,5070,building_footprint_area
AL,4,10802,"Demopolis city, AL",39126.21252358006,0.10671409518470835,366645.216415485,14538,100,5070,building_footprint_area
AL,7,9500,"Talladega city, AL",19.917042762041092,2.5206358517471663e-5,790159.4650506813,8,100,5070,building_footprint_area
AL,7,9701,"Columbus city (remainder), GA",58676.70214610314,0.07425931693716988,790159.4650506813,10692,100,5070,building_footprint_area
AL,7,9800,"Auburn city, AL",191688.9663742492,0.24259529228312687,790159.4650506813,30595,100,5070,building_footprint_area
AL,1,11101,"Montgomery city, AL",402174.1982155938,0.8772656929211179,458440.5858576719,72064,100,5070,building_footprint_area
AL,5,10801,"Tuscaloosa city, AL",20.498276203870773,1.6235546907789584e-5,1262555.3250710631,11,100,5070,building_footprint_area
AL,6,11101,"Montgomery city, AL",4.251410156488419,9.2562820945076e-6,459299.9773646784,3,100,5070,building_footprint_area
AL,1,10700,"Birmingham city, AL",32.37000849843025,7.060895020424717e-5,458440.5858576719,11,100,5070,building_footprint_area
AL,6,9800,"Auburn city, AL",2.53117036819458,5.510930748827063e-6,459299.9773646784,1,100,5070,building_footprint_area
AL,1,9800,"Auburn city, AL",10351.675462376326,0.0225801898473058,458440.5858576719,3515,100,5070,building_footprint_area
AL,3,10301,"Eufaula city, AL",25082.606107416796,0.08225317762195457,304943.9162423542,8246,100,5070,building_footprint_area
AL,1,10801,"Tuscaloosa city, AL",0.562070906162262,1.2260496201720745e-6,458440.5858576719,1,100,5070,building_footprint_area
AL,9,10802,"Demopolis city, AL",12548.910974852275,0.06014822427052617,208633.10807666671,6730,100,5070,building_footprint_area
AL,2,11001,"Mobile city, AL",687227.9524385461,0.9992459880699057,687746.5215206535,121135,100,5070,building_footprint_area
AL,4,11101,"Montgomery city, AL",0.45885542035102844,1.2514970871215462e-6,366645.216415485,1,100,5070,building_footprint_area
AL,1,11102,"Troy city, AL",45880.030536245555,0.10007846589413777,458440.5858576719,16630,100,5070,building_footprint_area
AL,3,10302,"Dothan city, AL",252107.964087963,0.8267355099079929,304943.9162423542,65316,100,5070,building_footprint_area
AL,4,11001,"Mobile city, AL",5.751705884933472,1.5687388318236223e-5,366645.216415485,3,100,5070,building_footprint_area
AL,11,11002,"Atmore city, AL",67635.51665605651,0.6437091009348787,105071.55570400879,25735,100,5070,building_footprint_area
AL,9,10400,"Meridian city, MS",0.44347167015075684,2.1256054431581093e-6,208633.10807666671,1,100,5070,building_footprint_area
AL,3,11102,"Troy city, AL",38.919403564184904,1.276280702490018e-4,304943.9162423542,12,100,5070,building_footprint_area
AL,1,11002,"Atmore city, AL",1.7495640516281128,3.816337614076963e-6,458440.5858576719,2,100,5070,building_footprint_area
AL,2,10802,"Demopolis city, AL",5.247486591339111,7.62997183866022e-6,687746.5215206535,1,100,5070,building_footprint_area
AL,11,11102,"Troy city, AL",37416.68916219054,0.3561067399401128,105071.55570400879,15349,100,5070,building_footprint_area
AL,11,11101,"Montgomery city, AL",1.749833881855011,1.6653735353308845e-5,105071.55570400879,3,100,5070,building_footprint_area
AL,304,11001,"Mobile city, AL",3.142944812774658,9.666375581515379e-6,325142.0127710313,2,100,5070,building_footprint_area
AL,11,11001,"Mobile city, AL",1.0404621362686157,9.902414876197737e-6,105071.55570400879,2,100,5070,building_footprint_area
AL,304,2800,"Laurel city, MS",0.8361814022064209,2.5717420984142994e-6,325142.0127710313,1,100,5070,building_footprint_area
AL,11,10302,"Dothan city, AL",9.702504634857178,9.234187663680894e-5,105071.55570400879,4,100,5070,building_footprint_area
AL,2,11002,"Atmore city, AL",6.028406798839569,8.765448621259993e-6,687746.5215206535,4,100,5070,building_footprint_area
AL,305,11001,"Mobile city, AL",13.65277487039566,3.017981945760821e-5,452380.93254907965,5,100,5070,building_footprint_area
AL,305,2700,"Biloxi city, MS",8.94390021264553,1.9770727652574505e-5,452380.93254907965,7,100,5070,building_footprint_area
AL,94,10302,"Dothan city, AL",2.2800903022289276,7.633354009412809e-6,298700.9772397969,2,100,5070,building_footprint_area
AL,94,9900,"Tallahassee city, FL",10.199853174388409,3.414737128964923e-5,298700.9772397969,8,100,5070,building_footprint_area
AL,3,9900,"Tallahassee city, FL",2.2755907773971558,7.462325549687733e-6,304943.9162423542,4,100,5070,building_footprint_area
AL,3,10900,"Pensacola city, FL",1.5811168551445007,5.184943102415947e-6,304943.9162423542,2,100,5070,building_footprint_area
AL,100,10900,"Pensacola city, FL",15.959527730941772,2.0323551490808426e-5,785272.5808360642,9,100,5070,building_footprint_area
AL,100,11102,"Troy city, AL",0.6757332682609558,8.605079112039236e-7,785272.5808360642,1,100,5070,building_footprint_area
AL,11,10900,"Pensacola city, FL",1.7934545129537582,1.7068887016444287e-5,105071.55570400879,3,100,5070,building_footprint_area
AL,100,11002,"Atmore city, AL",62.5723922252655,7.968238513898692e-5,785272.5808360642,25,100,5070,building_footprint_area
