PUMA20_GISJOIN,CZ90,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state_fips,state,afactor,GISJOIN,STATEFP20,PUMACE20,GEOID20
G01000600,6401,"Chattanooga city, TN",9.416569859,7.62e-05,123531.4087,7,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,1,AL,7.62e-05,G01000600,1,600,100600
G01000600,6100,"Gadsden city, AL",123516.0021,0.999875282,123531.4087,47275,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,1,AL,0.999875282,G01000600,1,600,100600
G47003300,6401,"Chattanooga city, TN",57617.12395,0.552413376,104300.7401,18818,100,5070,building_footprint_area,"Warren, Marion & Sequatchie Counties--McMinnville city PUMA",47,TN,0.552413376,G47003300,47,3300,4703300
G01000401,6000,"Huntsville city, AL",113010.1681,0.999983552,113012.027,21094,100,5070,building_footprint_area,Madison County (North & East)--Huntsville City (East) PUMA,1,AL,0.999983552,G01000401,1,401,100401
G47003100,6000,"Huntsville city, AL",35259.22615,0.294742974,119627.0286,14316,100,5070,building_footprint_area,"Bedford, Lincoln & Marshall Counties--Shelbyville & Lewisburg cities PUMA",47,TN,0.294742974,G47003100,47,3100,4703100
G13000100,6100,"Gadsden city, AL",39.90887696,0.000227,176083.5284,18,100,5070,building_footprint_area,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",13,GA,0.000227,G13000100,13,100,1300100
G01000200,6000,"Huntsville city, AL",100827.8741,0.999810185,100847.0164,21236,100,5070,building_footprint_area,Limestone County PUMA,1,AL,0.999810185,G01000200,1,200,100200
G47003000,5500,"Columbia city, TN",42698.22026,0.385165426,110856.8355,16887,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",47,TN,0.385165426,G47003000,47,3000,4703000
G01000200,5500,"Columbia city, TN",19.14232256,0.00019,100847.0164,5,100,5070,building_footprint_area,Limestone County PUMA,1,AL,0.00019,G01000200,1,200,100200
G47003000,6000,"Huntsville city, AL",10.89213231,9.83e-05,110856.8355,5,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",47,TN,9.83e-05,G47003000,47,3000,4703000
G01000100,6200,"Florence city, AL",182111.8048,0.999987053,182114.1627,48760,100,5070,building_footprint_area,"Lauderdale, Colbert & Franklin Counties PUMA",1,AL,0.999987053,G01000100,1,100,100100
G47003000,6200,"Florence city, AL",59973.72307,0.541001579,110856.8355,22165,100,5070,building_footprint_area,"Lawrence, Giles & Wayne Counties--Lawrenceburg city PUMA",47,TN,0.541001579,G47003000,47,3000,4703000
G01000100,6000,"Huntsville city, AL",1.313083023,7.21e-06,182114.1627,3,100,5070,building_footprint_area,"Lauderdale, Colbert & Franklin Counties PUMA",1,AL,7.21e-06,G01000100,1,100,100100
G01000402,6000,"Huntsville city, AL",152715.8958,1.0,152715.8958,13026,100,5070,building_footprint_area,"Huntsville (North & Far West), Madison (East) & Triana Cities PUMA",1,AL,1.0,G01000402,1,402,100402
G01000403,6000,"Huntsville city, AL",107711.5481,1.0,107711.5481,8672,100,5070,building_footprint_area,Huntsville City (Central & South) PUMA,1,AL,1.0,G01000403,1,403,100403
G01000300,6000,"Huntsville city, AL",155628.9925,0.999359866,155728.6797,39076,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,1,AL,0.999359866,G01000300,1,300,100300
G01000401,6100,"Gadsden city, AL",1.85887301,1.64e-05,113012.027,1,100,5070,building_footprint_area,Madison County (North & East)--Huntsville City (East) PUMA,1,AL,1.64e-05,G01000401,1,401,100401
G13000100,6401,"Chattanooga city, TN",151183.1698,0.858587803,176083.5284,33515,100,5070,building_footprint_area,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA",13,GA,0.858587803,G13000100,13,100,1300100
G01000501,6000,"Huntsville city, AL",13556.32258,0.122304138,110841.079,3339,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,1,AL,0.122304138,G01000501,1,501,100501
G01000501,6100,"Gadsden city, AL",97283.31354,0.877682845,110841.079,26644,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,1,AL,0.877682845,G01000501,1,501,100501
G01000700,6600,"Rome city, GA",24838.27941,0.194321877,127820.2939,11730,100,5070,building_footprint_area,Etowah & Cherokee Counties PUMA,1,AL,0.194321877,G01000700,1,700,100700
G01000700,6100,"Gadsden city, AL",102978.8804,0.805653603,127820.2939,25552,100,5070,building_footprint_area,Etowah & Cherokee Counties PUMA,1,AL,0.805653603,G01000700,1,700,100700
G01000600,6600,"Rome city, GA",5.990017682,4.85e-05,123531.4087,8,100,5070,building_footprint_area,DeKalb & Jackson Counties PUMA,1,AL,4.85e-05,G01000600,1,600,100600
G28000200,5100,"Corinth city, MS",78054.47523,0.554246658,140829.8527,27103,100,5070,building_footprint_area,"Northeast Region--Alcorn, Benton, Marshall, Prentiss, Tippah & Tishomingo Counties PUMA",28,MS,0.554246658,G28000200,28,200,2800200
G01000300,6200,"Florence city, AL",7.940787703,5.1e-05,155728.6797,10,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,1,AL,5.1e-05,G01000300,1,300,100300
G01001000,6100,"Gadsden city, AL",10.05819917,7.21e-05,139547.0349,3,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",1,AL,7.21e-05,G01001000,1,1000,101000
G01001000,10700,"Birmingham city, AL",87235.88482,0.625136069,139547.0349,31234,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",1,AL,0.625136069,G01001000,1,1000,101000
G01000501,10700,"Birmingham city, AL",1.442896783,1.3e-05,110841.079,2,100,5070,building_footprint_area,Marshall & Madison (Far Southeast) Counties PUMA,1,AL,1.3e-05,G01000501,1,501,100501
G01001000,6000,"Huntsville city, AL",3.688803434,2.64e-05,139547.0349,2,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",1,AL,2.64e-05,G01001000,1,1000,101000
G13001000,6600,"Rome city, GA",140904.9633,0.825446129,170701.586,29848,100,5070,building_footprint_area,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",13,GA,0.825446129,G13001000,13,1000,1301000
G01000300,10700,"Birmingham city, AL",91.74640372,0.000589,155728.6797,34,100,5070,building_footprint_area,Morgan & Lawrence Counties--Decatur City PUMA,1,AL,0.000589,G01000300,1,300,100300
G01000900,10700,"Birmingham city, AL",149119.2794,0.999854698,149140.95,42730,100,5070,building_footprint_area,St. Clair & Blount Counties PUMA,1,AL,0.999854698,G01000900,1,900,100900
G01001000,10600,"Birmingham city, AL",52275.03723,0.374605145,139547.0349,22638,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",1,AL,0.374605145,G01001000,1,1000,101000
G01001000,6200,"Florence city, AL",22.36587997,0.00016,139547.0349,17,100,5070,building_footprint_area,"Cullman, Marion & Winston Counties PUMA",1,AL,0.00016,G01001000,1,1000,101000
G01000100,10600,"Birmingham city, AL",1.044777274,5.74e-06,182114.1627,1,100,5070,building_footprint_area,"Lauderdale, Colbert & Franklin Counties PUMA",1,AL,5.74e-06,G01000100,1,100,100100
G28000400,5000,"Tupelo city, MS",87644.58487,0.613796017,142791.0617,33001,100,5070,building_footprint_area,"Three Rivers Region--Calhoun, Chickasaw, Itawamba, Lafayette & Monroe Counties PUMA",28,MS,0.613796017,G28000400,28,400,2800400
G01000900,6100,"Gadsden city, AL",21.67052937,0.000145,149140.95,9,100,5070,building_footprint_area,St. Clair & Blount Counties PUMA,1,AL,0.000145,G01000900,1,900,100900
G01000700,10700,"Birmingham city, AL",3.134140134,2.45e-05,127820.2939,2,100,5070,building_footprint_area,Etowah & Cherokee Counties PUMA,1,AL,2.45e-05,G01000700,1,700,100700
G01001600,9600,"Anniston city, AL",36888.4995,0.279043066,132196.4387,18432,100,5070,building_footprint_area,"Talladega, Randolph, Cleburne & Clay Counties PUMA",1,AL,0.279043066,G01001600,1,1600,101600
G01000800,9600,"Anniston city, AL",115716.1733,0.999515815,115772.2285,24733,100,5070,building_footprint_area,Calhoun County PUMA,1,AL,0.999515815,G01000800,1,800,100800
G01000800,6100,"Gadsden city, AL",5.090709925,4.4e-05,115772.2285,2,100,5070,building_footprint_area,Calhoun County PUMA,1,AL,4.4e-05,G01000800,1,800,100800
G01001301,10600,"Birmingham city, AL",64990.62631,0.565544981,114916.812,21971,100,5070,building_footprint_area,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities PUMA",1,AL,0.565544981,G01001301,1,1301,101301
G01001100,10600,"Birmingham city, AL",30086.00162,0.240748668,124968.5069,13890,100,5070,building_footprint_area,West Alabama PUMA,1,AL,0.240748668,G01001100,1,1100,101100
G01001301,10700,"Birmingham city, AL",49926.18569,0.434455019,114916.812,11343,100,5070,building_footprint_area,"Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities PUMA",1,AL,0.434455019,G01001301,1,1301,101301
G13001000,9600,"Anniston city, AL",29795.78334,0.174548954,170701.586,9377,100,5070,building_footprint_area,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",13,GA,0.174548954,G13001000,13,1000,1301000
G01001402,10700,"Birmingham city, AL",132917.0415,1.0,132917.0415,15666,100,5070,building_footprint_area,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",1,AL,1.0,G01001402,1,1402,101402
G28000400,10600,"Birmingham city, AL",0.680944383,4.77e-06,142791.0617,1,100,5070,building_footprint_area,"Three Rivers Region--Calhoun, Chickasaw, Itawamba, Lafayette & Monroe Counties PUMA",28,MS,4.77e-06,G28000400,28,400,2800400
G01001600,9500,"Talladega city, AL",95306.88648,0.720948971,132196.4387,26681,100,5070,building_footprint_area,"Talladega, Randolph, Cleburne & Clay Counties PUMA",1,AL,0.720948971,G01001600,1,1600,101600
G01000800,9500,"Talladega city, AL",50.96441454,0.00044,115772.2285,10,100,5070,building_footprint_area,Calhoun County PUMA,1,AL,0.00044,G01000800,1,800,100800
G13002600,9600,"Anniston city, AL",118738.0297,0.99929708,118821.5517,26055,100,5070,building_footprint_area,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13,GA,0.99929708,G13002600,13,2600,1302600
G01001401,10700,"Birmingham city, AL",117778.9741,0.999974752,117781.9479,17680,100,5070,building_footprint_area,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",1,AL,0.999974752,G01001401,1,1401,101401
G01001401,10600,"Birmingham city, AL",2.973779857,2.52e-05,117781.9479,2,100,5070,building_footprint_area,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",1,AL,2.52e-05,G01001401,1,1401,101401
G01001403,10700,"Birmingham city, AL",186346.9449,1.0,186346.9449,13828,100,5070,building_footprint_area,Birmingham City PUMA,1,AL,1.0,G01001403,1,1403,101403
G01001404,10700,"Birmingham city, AL",183872.4095,1.0,183872.4095,15937,100,5070,building_footprint_area,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",1,AL,1.0,G01001404,1,1404,101404
G28000600,10600,"Birmingham city, AL",25.90338224,0.000149,174176.5092,10,100,5070,building_footprint_area,"Golden Triangle Region--Columbus, Starkville, & West Point Cities PUMA",28,MS,0.000149,G28000600,28,600,2800600
G01001501,10700,"Birmingham city, AL",137123.3356,1.0,137123.3356,15146,100,5070,building_footprint_area,"Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities PUMA",1,AL,1.0,G01001501,1,1501,101501
G01001100,10801,"Tuscaloosa city, AL",36711.12219,0.29376299,124968.5069,11703,100,5070,building_footprint_area,West Alabama PUMA,1,AL,0.29376299,G01001100,1,1100,101100
G01001201,10801,"Tuscaloosa city, AL",100024.6233,0.999426939,100081.9764,21859,100,5070,building_footprint_area,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,1,AL,0.999426939,G01001201,1,1201,101201
G01001201,10600,"Birmingham city, AL",1.310592294,1.31e-05,100081.9764,1,100,5070,building_footprint_area,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,1,AL,1.31e-05,G01001201,1,1201,101201
G01001502,10700,"Birmingham city, AL",129800.659,0.99981493,129824.6856,32444,100,5070,building_footprint_area,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities PUMA,1,AL,0.99981493,G01001502,1,1502,101502
G01001100,10501,"Columbus city, MS",19040.16014,0.152359667,124968.5069,8280,100,5070,building_footprint_area,West Alabama PUMA,1,AL,0.152359667,G01001100,1,1100,101100
G13002700,9600,"Anniston city, AL",80515.56263,0.796852585,101041.9796,18811,100,5070,building_footprint_area,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",13,GA,0.796852585,G13002700,13,2700,1302700
G28000600,10501,"Columbus city, MS",68655.61667,0.394172653,174176.5092,17627,100,5070,building_footprint_area,"Golden Triangle Region--Columbus, Starkville, & West Point Cities PUMA",28,MS,0.394172653,G28000600,28,600,2800600
G01001502,9500,"Talladega city, AL",3.528397322,2.72e-05,129824.6856,1,100,5070,building_footprint_area,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities PUMA,1,AL,2.72e-05,G01001502,1,1502,101502
G01001201,10700,"Birmingham city, AL",47.98044956,0.000479,100081.9764,4,100,5070,building_footprint_area,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,1,AL,0.000479,G01001201,1,1201,101201
G01001202,10801,"Tuscaloosa city, AL",125222.0044,1.0,125222.0044,9546,100,5070,building_footprint_area,Tuscaloosa & Northport (Southeast) Cities PUMA,1,AL,1.0,G01001202,1,1202,101202
G01002000,9600,"Anniston city, AL",34336.74259,0.297894704,115264.6962,9153,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",1,AL,0.297894704,G01002000,1,2000,102000
G01001100,10700,"Birmingham city, AL",2.011655271,1.61e-05,124968.5069,2,100,5070,building_footprint_area,West Alabama PUMA,1,AL,1.61e-05,G01001100,1,1100,101100
G01002000,9500,"Talladega city, AL",51322.78467,0.445260226,115264.6962,17789,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",1,AL,0.445260226,G01002000,1,2000,102000
G01001100,10802,"Demopolis city, AL",39122.08408,0.313055545,124968.5069,14534,100,5070,building_footprint_area,West Alabama PUMA,1,AL,0.313055545,G01001100,1,1100,101100
G01001201,10802,"Demopolis city, AL",8.062018871,8.06e-05,100081.9764,3,100,5070,building_footprint_area,Tuscaloosa County (Outer)--Northport City (North & West) PUMA,1,AL,8.06e-05,G01001201,1,1201,101201
G01002000,9701,"Columbus city (remainder), GA",4.483869076,3.89e-05,115264.6962,2,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",1,AL,3.89e-05,G01002000,1,2000,102000
G01002201,9600,"Anniston city, AL",2.352307558,2.25e-05,104354.8843,1,100,5070,building_footprint_area,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,1,AL,2.25e-05,G01002201,1,2201,102201
G01002201,9800,"Auburn city, AL",45679.68186,0.437734009,104354.8843,8815,100,5070,building_footprint_area,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,1,AL,0.437734009,G01002201,1,2201,102201
G01002201,9701,"Columbus city (remainder), GA",58671.96328,0.562234951,104354.8843,10689,100,5070,building_footprint_area,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,1,AL,0.562234951,G01002201,1,2201,102201
G01002000,9800,"Auburn city, AL",29594.48321,0.256752364,115264.6962,9376,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",1,AL,0.256752364,G01002000,1,2000,102000
G01002101,9600,"Anniston city, AL",17.55545914,0.000139,126703.1565,3,100,5070,building_footprint_area,Lee County (West)--Auburn & Opelika Cities PUMA,1,AL,0.000139,G01002101,1,2101,102101
G01002101,9800,"Auburn city, AL",126684.0109,0.999848894,126703.1565,15889,100,5070,building_footprint_area,Lee County (West)--Auburn & Opelika Cities PUMA,1,AL,0.999848894,G01002101,1,2101,102101
G01001901,11101,"Montgomery city, AL",100023.2731,1.0,100023.2731,27173,100,5070,building_footprint_area,Elmore & Montgomery (South & Far East) Counties PUMA,1,AL,1.0,G01001901,1,1901,101901
G01001502,10801,"Tuscaloosa city, AL",20.4982762,0.000158,129824.6856,11,100,5070,building_footprint_area,Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities PUMA,1,AL,0.000158,G01001502,1,1502,101502
G01001700,10801,"Tuscaloosa city, AL",46473.53642,0.403293562,115235.0068,12291,100,5070,building_footprint_area,"Autauga, Dallas, Lowndes & Perry Counties PUMA",1,AL,0.403293562,G01001700,1,1700,101700
G01002000,11101,"Montgomery city, AL",6.201818854,5.38e-05,115264.6962,4,100,5070,building_footprint_area,"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties PUMA",1,AL,5.38e-05,G01002000,1,2000,102000
G01002101,9500,"Talladega city, AL",1.590134263,1.26e-05,126703.1565,1,100,5070,building_footprint_area,Lee County (West)--Auburn & Opelika Cities PUMA,1,AL,1.26e-05,G01002101,1,2101,102101
G01001700,11101,"Montgomery city, AL",68729.06119,0.596425193,115235.0068,17655,100,5070,building_footprint_area,"Autauga, Dallas, Lowndes & Perry Counties PUMA",1,AL,0.596425193,G01001700,1,1700,101700
G01001700,10700,"Birmingham city, AL",32.3700085,0.000281,115235.0068,11,100,5070,building_footprint_area,"Autauga, Dallas, Lowndes & Perry Counties PUMA",1,AL,0.000281,G01001700,1,1700,101700
G28001400,10802,"Demopolis city, AL",0.44446668,3.79e-06,117289.539,1,100,5070,building_footprint_area,"East Central Region--Jasper, Leake, Kemper, Neshoba, Scott & Smith Counties PUMA",28,MS,3.79e-06,G28001400,28,1400,2801400
G01001802,11101,"Montgomery city, AL",105465.6348,1.0,105465.6348,8984,100,5070,building_footprint_area,Montgomery City (East) & Pike Road Town (Northwest) PUMA,1,AL,1.0,G01001802,1,1802,101802
G01001801,11101,"Montgomery city, AL",109101.1297,1.0,109101.1297,10271,100,5070,building_footprint_area,Montgomery City (West) PUMA,1,AL,1.0,G01001801,1,1801,101801
G01001700,10802,"Demopolis city, AL",0.03920104,3.4e-07,115235.0068,1,100,5070,building_footprint_area,"Autauga, Dallas, Lowndes & Perry Counties PUMA",1,AL,3.4e-07,G01001700,1,1700,101700
G01002201,10301,"Eufaula city, AL",0.886863053,8.5e-06,104354.8843,1,100,5070,building_footprint_area,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities PUMA,1,AL,8.5e-06,G01002201,1,2201,102201
G01002500,10301,"Eufaula city, AL",25042.40716,0.196707639,127307.7511,8223,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,0.196707639,G01002500,1,2500,102500
G01002500,9701,"Columbus city (remainder), GA",0.254994869,2e-06,127307.7511,1,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,2e-06,G01002500,1,2500,102500
G01002600,10802,"Demopolis city, AL",12554.15846,0.097390826,128904.9387,6731,100,5070,building_footprint_area,Southwest Alabama PUMA,1,AL,0.097390826,G01002600,1,2600,102600
G01002600,11001,"Mobile city, AL",48653.93484,0.377440425,128904.9387,21866,100,5070,building_footprint_area,Southwest Alabama PUMA,1,AL,0.377440425,G01002600,1,2600,102600
G01002500,9800,"Auburn city, AL",84.99705353,0.000668,127307.7511,31,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,0.000668,G01002500,1,2500,102500
G01002500,11102,"Troy city, AL",83298.9614,0.654311781,127307.7511,31982,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,0.654311781,G01002500,1,2500,102500
G01002500,11101,"Montgomery city, AL",18854.81776,0.14810424,127307.7511,7982,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,0.14810424,G01002500,1,2500,102500
G01002300,10302,"Dothan city, AL",150227.687,0.999858928,150248.8828,38744,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",1,AL,0.999858928,G01002300,1,2300,102300
G01002500,10302,"Dothan city, AL",16.65699866,0.000131,127307.7511,13,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,0.000131,G01002500,1,2500,102500
G01002500,11001,"Mobile city, AL",3.58075285,2.81e-05,127307.7511,1,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,2.81e-05,G01002500,1,2500,102500
G01001100,11001,"Mobile city, AL",7.127221346,5.7e-05,124968.5069,4,100,5070,building_footprint_area,West Alabama PUMA,1,AL,5.7e-05,G01001100,1,1100,101100
G01002300,10301,"Eufaula city, AL",14.27505115,9.5e-05,150248.8828,11,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",1,AL,9.5e-05,G01002300,1,2300,102300
G01002600,11002,"Atmore city, AL",67681.03351,0.525046086,128904.9387,25755,100,5070,building_footprint_area,Southwest Alabama PUMA,1,AL,0.525046086,G01002600,1,2600,102600
G01002600,10400,"Meridian city, MS",0.919666797,7.13e-06,128904.9387,2,100,5070,building_footprint_area,Southwest Alabama PUMA,1,AL,7.13e-06,G01002600,1,2600,102600
G01002400,10302,"Dothan city, AL",101878.385,0.99946256,101933.168,26566,100,5070,building_footprint_area,Coffee & Dale Counties PUMA,1,AL,0.99946256,G01002400,1,2400,102400
G01002400,10301,"Eufaula city, AL",16.00671154,0.000157,101933.168,6,100,5070,building_footprint_area,Coffee & Dale Counties PUMA,1,AL,0.000157,G01002400,1,2400,102400
G01002400,11102,"Troy city, AL",38.77624651,0.00038,101933.168,11,100,5070,building_footprint_area,Coffee & Dale Counties PUMA,1,AL,0.00038,G01002400,1,2400,102400
G01002500,11002,"Atmore city, AL",1.749564052,1.37e-05,127307.7511,2,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,1.37e-05,G01002500,1,2500,102500
G01002600,11101,"Montgomery city, AL",0.539943755,4.19e-06,128904.9387,2,100,5070,building_footprint_area,Southwest Alabama PUMA,1,AL,4.19e-06,G01002600,1,2600,102600
G28001700,11001,"Mobile city, AL",9.63751176,7.45e-05,129335.8886,8,100,5070,building_footprint_area,"South Region--Covington, Greene, Jefferson Davis, Jones & Wayne Counties PUMA",28,MS,7.45e-05,G28001700,28,1700,2801700
G01002600,11102,"Troy city, AL",1.58744216,1.23e-05,128904.9387,2,100,5070,building_footprint_area,Southwest Alabama PUMA,1,AL,1.23e-05,G01002600,1,2600,102600
G13003900,10301,"Eufaula city, AL",16259.49834,0.135449361,120041.1591,6211,100,5070,building_footprint_area,Southwest Georgia Regional Commission (West & Central) PUMA,13,GA,0.135449361,G13003900,13,3900,1303900
G13003900,10302,"Dothan city, AL",1.592150211,1.33e-05,120041.1591,2,100,5070,building_footprint_area,Southwest Georgia Regional Commission (West & Central) PUMA,13,GA,1.33e-05,G13003900,13,3900,1303900
G28001700,2800,"Laurel city, MS",86514.2479,0.668911381,129335.8886,30242,100,5070,building_footprint_area,"South Region--Covington, Greene, Jefferson Davis, Jones & Wayne Counties PUMA",28,MS,0.668911381,G28001700,28,1700,2801700
G01002701,11001,"Mobile city, AL",114855.3067,0.997816441,115106.6489,19887,100,5070,building_footprint_area,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities PUMA",1,AL,0.997816441,G01002701,1,2701,102701
G01002701,11002,"Atmore city, AL",6.028406799,5.24e-05,115106.6489,4,100,5070,building_footprint_area,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities PUMA",1,AL,5.24e-05,G01002701,1,2701,102701
G28001700,2700,"Biloxi city, MS",13372.59945,0.103394345,129335.8886,5848,100,5070,building_footprint_area,"South Region--Covington, Greene, Jefferson Davis, Jones & Wayne Counties PUMA",28,MS,0.103394345,G28001700,28,1700,2801700
G12005998,9900,"Tallahassee city, FL",44601.566,0.385134612,115807.7322,18039,100,5070,building_footprint_area,"Holmes, Walton, & Washington Counties PUMA",12,FL,0.385134612,G12005998,12,5998,1205998
G01002300,9900,"Tallahassee city, FL",5.196511328,3.46e-05,150248.8828,7,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",1,AL,3.46e-05,G01002300,1,2300,102300
G01002300,11102,"Troy city, AL",0.14315705,9.53e-07,150248.8828,1,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",1,AL,9.53e-07,G01002300,1,2300,102300
G01002801,11001,"Mobile city, AL",138318.9433,0.999522343,138385.0439,30947,100,5070,building_footprint_area,Mobile County (Outer)--Prichard & Saraland Cities PUMA,1,AL,0.999522343,G01002801,1,2801,102801
G01002300,10900,"Pensacola city, FL",1.581116855,1.05e-05,150248.8828,2,100,5070,building_footprint_area,"Houston, Geneva & Henry Counties--Dothan City PUMA",1,AL,1.05e-05,G01002300,1,2300,102300
G01002500,10900,"Pensacola city, FL",4.325440511,3.4e-05,127307.7511,5,100,5070,building_footprint_area,"Covington, Pike, Barbour, Butler & Crenshaw Counties PUMA",1,AL,3.4e-05,G01002500,1,2500,102500
G12005998,10900,"Pensacola city, FL",71192.90631,0.614750889,115807.7322,17572,100,5070,building_footprint_area,"Holmes, Walton, & Washington Counties PUMA",12,FL,0.614750889,G12005998,12,5998,1205998
G12009101,10900,"Pensacola city, FL",107797.6872,0.999962897,107801.6869,15851,100,5070,building_footprint_area,Okaloosa County (North) PUMA,12,FL,0.999962897,G12009101,12,9101,1209101
G12011300,11002,"Atmore city, AL",26.79990444,0.000146,184037.9739,12,100,5070,building_footprint_area,Santa Rosa County PUMA,12,FL,0.000146,G12011300,12,11300,1211300
G01002600,10900,"Pensacola city, FL",12.21841025,9.48e-05,128904.9387,5,100,5070,building_footprint_area,Southwest Alabama PUMA,1,AL,9.48e-05,G01002600,1,2600,102600
G12003301,10900,"Pensacola city, FL",101832.8332,0.999697893,101863.6068,16433,100,5070,building_footprint_area,Escambia County (North) PUMA,12,FL,0.999697893,G12003301,12,3301,1203301
G12003301,11002,"Atmore city, AL",30.77366499,0.000302,101863.6068,19,100,5070,building_footprint_area,Escambia County (North) PUMA,12,FL,0.000302,G12003301,12,3301,1203301
G01002801,2700,"Biloxi city, MS",39.4511252,0.000285,138385.0439,17,100,5070,building_footprint_area,Mobile County (Outer)--Prichard & Saraland Cities PUMA,1,AL,0.000285,G01002801,1,2801,102801
G01002803,11001,"Mobile city, AL",145495.9918,0.999683171,145542.1038,12475,100,5070,building_footprint_area,Mobile City (East) PUMA,1,AL,0.999683171,G01002803,1,2803,102803
G28001900,11001,"Mobile city, AL",7.569610834,5.25e-05,144249.4404,3,100,5070,building_footprint_area,"South Region--George, Hancock, Pearl River & Stone Counties PUMA",28,MS,5.25e-05,G28001900,28,1900,2801900
G01002802,11001,"Mobile city, AL",129386.4922,0.999253791,129483.1137,13471,100,5070,building_footprint_area,Mobile City (West) & Tillmans Corner CDP PUMA,1,AL,0.999253791,G01002802,1,2802,102802
G28002100,11001,"Mobile city, AL",1.344897151,9.42e-06,142699.0437,2,100,5070,building_footprint_area,South Region--Jackson County PUMA,28,MS,9.42e-06,G28002100,28,2100,2802100
G28002100,2700,"Biloxi city, MS",142566.6261,0.99907205,142699.0437,24230,100,5070,building_footprint_area,South Region--Jackson County PUMA,28,MS,0.99907205,G28002100,28,2100,2802100
